,0
1166,Indian Oil
1167,Race Course
1168,Teen Murti
1169,South Avenue
1170,Krishanan Menon Marg
1171,South Blockn
1172,Jamia Milia
1173,Batla House
1174,Unani Research Center
1175,Noor Masjid
1176,D P School
1177,Defence Cly P Pump
1178,Archana Cinema
1179,Jait Pur H  blk 
1180,Karala Desu Office
1181,Raghubir Nagar Gurudwara
1182,Mithapur
1183,Meetha Pur
1184,Jaitpur Extn    Islampur Road  
1185,Meetha Pur Chowk
1186,Hari Nagar
1187,Molar Bandh School
1188,Jaitpur Village
1189,Khyala Restt Cly
1190,Sham Ngr   Ghante Wala Chowk  
1191,Sapna Cinema
1192,Okhla Estate B  blk 
1193,Dda Flats Hamdard Nagar
1194,Shahpur Jat
1195,Siri Fort Road
1196,Malviya Nagar Corner
1197,Malviya Nagar F  Blk
1198,Soami Nagar
1199,C R Park
1200,Okhla Ind  II D  Blk
1201,Govind Puri
1202,Hindustan Steel
1203,Okhla Estate Phase  1
1204,Central Work Shop  II
1205,Hot Mix Plant
1206,C W Shop  ii Tehkhand
1207,Sheikh Sarai Ph  II
1208,Chirag Delhi
1209,Savitri Cinema
1210,Khirki Village
1211,Pushpa Bhawan
1212,Pushp Vihar Sec  3
1213,Desu Sub Station
1214,Seikh Sarai
1215,Dakshin Puri
1216,Madan Gir
1217,K G  Marg
1218,Eastern Court
1219,Saket Market    Press Enclave
1220,Devli Vill
1221,Prem Piao
1222,Chandpur Vill Majra School
1223,Majra Dabas School
1224,Bajit Pur Xing
1225,Don Bosco School
1226,C R Park Mkt   1
1227,Alaknanda
1228,Sarita Vihar Pocket A&H
1229,Maya Puri Xing
1230,Naraina Village
1231,Cod
1232,Ashoka Hotel
1233,Jait Pur Extn   Ii
1234,Molar Bandh
1235,Mithapur Extn    Sindhu Farm  
1236,I G University
1237,Maidan Garhi
1238,Okhla Enclave
1239,Sarojini Nagar Police Station
1240,C R Park Mela Ground
1241,Janta Flats
1242,Bhangel
1243,Gharoli Dda Flats
1244,Noida Sec  62 Electronic City
1245,Applo Hospsarita Vihar Xing
1246,Saket Market    Modi Hospital
1247,Anupam Cinema    Modi Hospital
1248,Saket
1249,Ncert
1250,Katwaria Sarai
1251,Sanskrit Vidhaya Peeth
1252,Claridge Hotal
1253,P R Rd
1254,Mcd Xing
1255,Chattar Pur
1256,Chhaatar Pur Village
1257,Chattarpur Extension
1258,Chandan Hola
1259,Mallu Farm
1260,Shani Dham Mandir
1261,Bandh More
1262,Sat Bari
1263,Fateh Pur Beri
1264,Dera More
1265,Check Post
1266,Dera Village
1267,Bhati Kalan Village
1268,Jheer Khure Temple
1269,RLA College
1270,Arsd Colleg
1271,Paschim Marg Vasant Vihar
1272,Arjun Path
1273, Poorvi Marg
1274,APS Colony
1275,Vasant Vihar Power House
1276,Godavari Hostel
1277,Drain
1278,Fai
1279,Icssr
1280,Kishan Garh X  ing
1281,R K Puram Sec  7
1282,M  block
1283,Verma Farm
1284,Masood Pur
1285,Kishan Garh   2
1286,A  1 V Kunj
1287,Mahipalpur
1288,Shiv Murti
1289,Mahipal Pur Dairy
1290,Rang Puri
1291,Cargo Terminal
1292,Mile STONE
1293,Orchid Hotel
1294,Rajokari Xing
1295,Kapashera Xing
1296,Kapashera Border
1297,Kapashera Village
1298,Pushpanjli G Blk 
1299,Kapashera
1300,Nbcc Bhatta
1301,Hsc
1302,Ghitorni Village
1303,Aya Ngr Xing 
1304,Aya Ngr Xing  
1305,Aya Nagar
1306,Palam Morh
1307,More Line
1308,Prehlad Pur 1
1309,Gadaipur
1310,Gadaipur Check Post
1311,Jona Pur
1312,Pahar Temple
1313,J L Bal Bhawan
1314,Mandi Village
1315,Jat Khor
1316,Road No 29  30 Xing
1317,Jwala Heri
1318,Paschim Vihar B  2
1319,Nangloi Syed
1320,Vishnu Garden N  W Chowk
1321,Saraswati Kunj
1322,Parivar Aptt 
1323,Vasant Kunj C  8   old Police Line  
1324,Kathuria Public School
1325,Samalkha Xing
1326,21 Mile Stone
1327,Samalkha
1328,F  11 Farm
1329,Dwarka Sector 21
1330,Bijwasan School
1331, Bijwasan Syndicate Bank
1332,Bijwasan Syndicate Bank
1333,Bijwasan Rly Xing
1334,Bijwasan Rly Station
1335,Poltry Farm
1336,Bamnoli Xing
1337,Rewla Khan Pur
1338,Bamnoli
1339,Daulatpur Xing
1340,Rewla Khan Pur Xing
1341,P House Bamnoli
1342,Bamnoli Power House
1343,Chhawala Camp
1344,Chhawala Village
1345,Chhawla School
1346,Kanganheri
1347,Jhatikara Xing
1348,Pandwala Kalan Xing
1349,Chhawala Girls School 
1350,Deen Pur
1351,Roshan Pura
1352,Deenpur Colony
1353,Najafgarh Thana
1354,Nangloi X  ing
1355,Ghuman Hera Xing
1356,Anaj Mandi
1357,Jharoda Camp
1358,Ghuman Hera
1359,Nangloi Stand Najaf Garh
1360,Tilak Ngr G  blk 
1361,Udasin Ashram
1362,Chhawala Stand   Dhnsa Stand
1363,Dichaon Kalan
1364,Baprola
1365,Chanchal Park
1366,Baprola Village
1367,Baprola Xing
1368,Farm House
1369, Lok Nayak Puram
1370,Bakar Garh Village
1371,Bakkarwala
1372,Tilangpur Kotla
1373,Durga Mandir
1374,Ranholla
1375,Laxmi Park
1376,Neelothi Xing
1377,Nilothi Xing
1378,Raj Pur Xing
1379,Igi Air Port
1380,Sultanpuri C  9  36
1381,National Highway  8 Xing
1382,Chhawala Bsf Camp
1383,Chhatar Pur Pahari   Syndicate Bank  
1384,Vinay Marg
1385,Rly  Museum
1386,Vasant Kunj C  9
1387,Khel Gaon
1388,USSR Embassy
1389,Safdarjang Enclave
1390,Arjun Ngr B  7
1391,Admn  Block
1392,Poorvanchal Hostel
1393,J N U Xing
1394,Ncc Head Qtr 
1395,Rohini Sec  24 Pkt  18
1396,alpha1
1397,Rithala Metro Station
1398,Dwarka Sec  6 & 7 Xing
1399,IGI Airport Terminal  3
1400,Nangal Dairy
1401,Centoor Hotel
1402,Pry  School Sagar Pur
1403,Janak Puri A  1
1404,Subroto Park
1405,West Air Command
1406,Rajokri
1407,Rajokri Harijan Basti
1408,Nangal Thakaran
1409,Kanjhawala School
1410,Chotu Ram Polytechnic
1411,Dtc Depot
1412,Ghevra Village
1413,Ghevra More
1414,Savada Ghevra JJ Cly
1415,Cr Iit College
1416,Sawda
1417,Ghevra Nala
1418,Tikri Piao
1419,Neelwal Bhatta
1420,Hiran Kudna Village
1421,Nilothi  1
1422,DK Depot
1423,Airforce Camp
1424,Shubh Ram Colony
1425,alpha2
1426,Dwarka Sec  6&10 Mkt
1427,Dwarka Sec  19 Pkt  2
1428,Amb  Punj
1429,Dwarka Sec  22  23
1430,Dhool Siras Xing
1431,Dwarka Sec  8
1432,Dwarka Sec  22 Pochan Pur More
1433,Dhool Siras
1434,Bhartal Village
1435,Raddission Hotel
1436,Dwarka Sec  23 Pochan Pur
1437,Dwarka Spg Complex G No 2
1438,Shahbad Mohd Pur
1439,Pandwala Khurd
1440,Pandwala Kalan
1441,Pandwala Village
1442,Badu Sarai
1443,Nanak Heri
1444,Uttam Ngr Xing
1445,Partibha School
1446,Dwarka 10  11 Xing
1447,Dwarka Sec 18 Kargill Aptt
1448,Buster Pump
1449,Kailash Puri
1450,Jama Masjid
1451,Radha Swami Sat Sang Sect  19   Dwarka  
1452,Dwarka Sec  23
1453,Press Aptt 
1454,Daulatpur
1455,Jhatikra
1456,Asalat Pur Khavad
1457,Narela
1458,Nangli Dairy
1459,Kakrola Bridge
1460,Netaji Subhash Instt Sec  13 Police Post
1461,Sec  3  4 Xing
1462,DPS Matiyala
1463,Dhansa Village
1464,Nawada
1465,Rama Park
1466,Dwarka More   U  Turn Under Flyover  
1467,Barthal Village
1468,Simon Boulevard Marg
1469,Ramphal Chowk
1470,Dada Dev Palam
1471,Bagrola Village
1472,Dwarka Sec  21  25 Xing
1473,Nirwana Green
1474,Neelwal Village
1475,Shivaji College
1476,Raja Garden Terminal
1477,Bakar Wala JJ Cly
1478,Nanak Piao
1479,Pipe Factory
1480,Mitraon
1481,Surehra Xing
1482,Mitraon School
1483,Kair College
1484,Rawata Xing
1485,Surehra Village
1486,M Dankaur Pub  School
1487,Zafar Pur Hospital
1488,Mundhela Xing
1489,Mundela School
1490,Issa Pur School
1491,Issa Pur Temple
1492,Kair Village
1493,Kharkhari Nahar
1494,Jharoda Kalan
1495,Ujwa X  ing   Surhera  
1496,Khera Dabar
1497,Jyonti Border
1498,Ujwa
1499,Malik Pur Zar Xing
1500,Musaddi Piao
1501,Malik Pur Zar
1502,Jhuljhuli X  ing
1503,Rawata
1504,Galib Pur
1505,Rawata School
1506,Daurala More
1507,Daurala Village
1508,Daurala Bdr
1509,Pandwalan School
1510,Kharkhari Jatmal
1511,Kharkhri Road
1512,Hasan Pur   Najafgarh  
1513,Ghuman Hera Village
1514,Toll Bridge Plaza
1515,Shikar Pur
1516,Bagrola Xing
1517,Goela Village
1518,Nanak Heri Border
1519,S K V  Dhansa
1520,Skv Dhansa
1521,Dhansa Border
1522,Mundhela Kalan
1523,Mundhela Khurd
1524,Khyala J J  Cly 
1525,Bakar Garhborder
1526,Hastsal JJ Cly
1527,Hastsal LIG Flats
1528,Chandi Wala
1529,D C Chowk
1530,Nilothi Village
1531,East Punjabi Bagh
1532,Paschuim Vihar Gh  13  14
1533,Ram Mandir
1534,Nihal Vihar Xing
1535,C  2 Keshav Puram
1536,Water Tajnk  Keshav Puram
1537,Majra Dabas
1538,Neelwal Xing
1539,Dichaon Kalan Village
1540,New Cly  Najaf Garh
1541,Tikri Vill 
1542,Nizam Pur
1543,Nizampur School
1544,Garhi Randhala
1545,Khera Mandir
1546,Agar Nagar
1547,Kirari
1548,Mahavir Encl   Iii
1549,M  blk Sawda
1550,Sawda Jj Colony
1551,Rohini Sec  5
1552,Rohini Sec  23  24   Divider Road  
1553,Nithari
