,0
513,M C  K R  Hospital
514,Greater Kailash Part  II
515,Loniyan Ind
516,Burari Garhi
517,Nathu Pura Xing
518,Hiranki Xing
519,Kaushik Enclave
520,Ibrahim Pur
521,Nathu Pura
522,Hiranki
523,Keshav Nagar
524,Mohammad Pur
525,Mukhmelpur
526,Nauroji Nagar
527,N J  Nagar
528,R K Puram Sec  3
529,Sarojini Nagar Depot
530,Green Field School
531,Bakhtawar Pur Chowk
532,Shastri Park
533,Seelam Pur
534,Shastri Ngr Pusta
535,I S B T Kashmiri Gate   Nityanand Marg  
536,New Usman Pur Pusta No  1
537,Dharam Pura
538,Yamuna Bridge East
539,New Usman Pur
540,Kanti Nagar
541,Welcome
542,Zafra Bad School
543,Swarn Cinema
544,Kasturba Nagar
545, Vishwas Nagar
546,Patpar Ganj Depot
547,Sunder Nagar
548,National Stadium
549,Patiala House
550,Itpo Office
551,Sunder Nagar   Golf Club
552,R P Bagh
553,Bara Bagh
554,Bank Colony
555,Badli School
556,Rohini Sec  18
557,Sachdeva Public School
558,Rohini Sec  13
559,Rohini Sec  11 SFS Flats
560,Rohini Sec  16
561,Engineering College
562,Old Delhi Railway Station
563,Delhi Eng  College
564,Rohini Sec  16 Xing
565,Shahbad Daulat Pur
566,St  Michal School
567,Shahbad Dairy
568,Prahlad Pur School
569,Prahlad Pur
570,Prehlad Pur Village
571,Uttam Nagar Terminal
572,Barwala Pathshala
573,Badarpur   New MB Road  
574,Andh Vidhyalaya
575,Palam Phatak
576,Hanuman Mandir
577,Prehlad Vihar
578,Barwala
579,Asthal Pooth
580,Pooth Khurd
581,Bawana School
582,Dhake Wala
583,Sultan Pur Dabas
584,Bawana Depot
585,Dariya Pur
586,Bawana Cannal
587,Nangal Xing
588,Dariya Pur School
589,Nangli Xing
590,Nangal Thakran More
591,Harewali Xing
592,Auchandi Village
593,Auchandi School
594,Harewali Village
595,Auchandi Border
596,Mangesh Pur
597,Katewra X  ing
598,Katevara
599,Qutab Garh Border
600,Katewra Village
601,Najafgarh
602,Rohini Sec  19 Police Chowki
603,Rohini Sec  18 Police Chowki
604,Police Post
605,Rohini Sec  17 Xing
606,Nangli Thakran
607,Bajit Pur
608,Nangal Vill Darya Pur Xing
609,Bajit Pur W  Works
610,Nehru Vihar
611,Nehru Vihar Xing
612,Wazirabad Xing
613,Kamla Nagar Police Station
614,University Gate
615,Chowki No 2
616,S  Bharat Mill
617,Rampura
618,Swatantra Bharat Mill
619,Shastri Nagar E  Blk
620,F  blk Kirti Nagar
621,Kirti Nagar Police Station
622,Sp Depot
623,Tagore Garden
624,Shivaji Enclave    Raghubir Ngr   
625,Mansrover Garden
626,Maya Puri Depot
627,Old Nangal
628,M P  Depot
629,Metal Forging
630,Rajori Garden
631,Rajouri Garden Ring Road
632,Kaccha Tihar
633,Kalibari Marg
634,Jhande Walan
635,Model Basti
636,Gtb Ngrins Hostel
637,Safiabad Bdr 
638,Ghoga Air Force Station
639,Bawana JJ Cly 
640,Jain Mandir
641,Ghoga Bhatta
642,Vishal Bagh
643,Sanoth Xing
644,Sanoth Village
645,Guru Gobind Singh College
646,Mangol Puri School
647,West Enclave
648,Pushpanjli Enclave
649,Karala
650,beta
651,Begampur
652,Karala Pathshala
653,Rama Vihar
654,Karala Village
655,Desu Office
656,Kanjhawala
657,Kanjhawala Village
658,Vasant Kunj Sec  A
659,Andehria More
660,Surak Pur
661,Nirmal Hospital
662,Ladpur
663,Chand Pur Xing
664,Kanjhawla Depot
665,Joyonti Xing
666,Jyonti
667,Jyonti Village
668,Joyonti
669,Jonti Sch   Shivalya  
670,Tatesar
671,Tatesar Vill 
672,Tatesar Gurukul
673,Gurkul
674,Punjab Khor
675,Jat Khor X  ing
676,Sriram Institute
677,Nagia Park
678,Nimri Coclony
679,Laxmi Bai College
680,Ashok Vihar Ph  II
681,Wazirpur Industrial Area
682,Inder Puri
683,Trilok Puri B  block
684,Chand Cinema
685,Kalyanpuri
686,Trilok Puri 26  Block
687,Trilok Puri
688,Kondli
689,East Vinod Nagar
690,Kondli Xing
